시도,시군구,사고년도,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
시도,시군구,사고년도,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,철길건널목,기타/불명
시도,시군구,사고년도,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명,터널안,교량위,고가도로위,지하차도(도로)내,기타단일로,교차로내,교차로횡단보도내,교차로부근,철길건널목,기타/불명
서울,종로구,사고[건],8,3,0,41,644,235,43,153,0,7,11,2,0,67,587,259,39,152,0,16,8,0,2,30,495,191,32,111,0,34,11,1,1,19,431,158,24,86,0,47,13,1,1,31,501,182,29,171,0,45,14,1,0,37,519,185,35,148,0,49
서울,종로구,사망[명],1,0,0,0,4,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,6,0,0,1,0,1
서울,종로구,부상[명],12,5,0,56,863,333,47,222,0,8,20,2,0,99,765,403,47,202,0,21,20,0,3,45,644,286,35,150,0,41,18,4,1,25,581,213,23,118,0,67,20,1,5,40,665,273,35,254,0,58,21,1,0,60,690,263,41,187,0,68
서울,마포구,사고[건],1,23,12,1,889,324,54,241,0,126,2,22,7,1,756,307,56,202,0,141,3,30,6,1,593,337,40,154,0,108,2,32,9,1,510,290,36,142,0,80,2,40,19,3,523,210,46,141,0,81,8,42,17,2,561,240,59,174,0,147
서울,마포구,사망[명],0,0,0,0,7,0,0,3,0,1,0,0,0,0,5,2,0,0,0,0,0,2,0,0,5,4,2,0,0,0,0,0,0,0,2,9,0,0,0,3,0,0,0,0,4,2,3,1,0,0,0,2,0,0,5,4,1,2,0,0
서울,마포구,부상[명],1,52,35,1,"1,285",478,63,349,0,165,3,34,15,2,"1,064",450,62,297,0,196,4,53,10,1,825,447,44,226,0,144,5,65,16,1,736,381,42,199,0,128,3,89,36,7,699,300,51,199,0,99,15,63,21,3,791,318,63,242,0,199
서울,강서구,사고[건],6,4,1,1,717,373,76,267,0,57,1,7,2,2,867,490,72,298,0,90,4,9,3,2,683,441,58,270,0,105,5,4,2,3,664,415,68,219,0,121,6,8,4,2,722,341,81,248,0,194,1,5,7,4,769,333,74,235,0,90
서울,강서구,사망[명],0,0,0,0,3,4,0,3,0,1,0,0,0,0,12,5,0,3,0,0,0,1,0,0,4,4,1,6,0,1,0,0,0,0,6,2,1,4,0,0,1,0,0,0,4,6,1,1,0,2,0,0,0,0,4,2,1,2,0,0
서울,강서구,부상[명],13,8,1,1,"1,054",582,79,398,0,72,1,14,2,3,"1,181",665,80,436,0,109,6,11,6,2,915,647,58,349,0,137,9,7,4,8,910,594,73,295,0,142,5,11,6,3,959,468,85,337,0,234,1,6,17,5,"1,080",487,78,323,0,115
서울,구로구,사고[건],4,14,17,11,761,393,85,214,0,33,2,10,7,9,748,409,81,183,0,80,6,16,17,2,549,367,71,223,0,74,4,7,8,5,602,403,73,163,0,85,1,9,8,7,552,334,75,181,0,107,3,10,8,6,573,359,91,232,0,77
서울,구로구,사망[명],0,0,0,0,5,3,4,1,0,0,0,0,0,0,6,5,1,1,0,0,1,0,0,0,3,4,0,2,0,0,0,0,1,0,1,3,0,1,0,3,0,2,0,0,8,2,0,0,0,0,0,0,0,0,1,0,0,3,0,1
서울,구로구,부상[명],6,22,21,13,"1,020",607,94,310,0,36,2,13,13,15,"1,028",594,87,255,0,89,6,27,21,4,744,539,77,301,0,91,4,8,11,7,774,520,79,216,0,110,1,12,11,8,708,467,82,269,0,133,3,18,11,14,771,505,102,328,0,88
서울,영등포구,사고[건],6,57,7,7,"1,197",646,69,385,0,119,4,56,5,1,"1,232",625,61,333,0,122,5,55,18,5,"1,069",602,51,289,0,114,5,64,16,7,"1,151",526,41,286,0,82,3,46,16,15,"1,140",438,50,239,0,51,9,46,13,13,991,413,78,263,0,74
서울,영등포구,사망[명],0,1,0,0,10,8,0,3,0,0,0,0,0,0,8,0,1,0,0,2,0,0,0,0,3,2,0,2,0,0,0,0,0,0,9,3,0,1,0,2,0,0,4,1,12,1,0,2,0,0,0,1,0,0,3,3,0,0,0,0
서울,영등포구,부상[명],8,102,20,8,"1,676",926,77,555,0,160,6,103,9,1,"1,748",876,66,487,0,155,10,83,34,10,"1,463",891,55,410,0,146,6,111,26,7,"1,549",714,48,404,0,102,5,76,28,21,"1,576",591,52,300,0,58,15,67,31,19,"1,409",530,83,376,0,89
서울,동작구,사고[건],5,10,4,4,726,269,49,268,0,77,5,6,7,7,719,292,49,234,0,87,9,7,4,6,650,327,42,166,0,96,4,2,6,0,549,284,48,182,0,73,3,3,5,1,653,261,49,190,0,52,6,6,4,0,642,280,48,182,0,74
서울,동작구,사망[명],0,0,0,0,7,0,1,0,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,8,1,0,1,0,1,0,0,0,0,4,2,1,0,0,0,0,0,0,0,4,1,1,0,0,0
서울,동작구,부상[명],5,15,4,7,975,372,51,371,0,92,11,11,10,8,"1,056",430,54,330,0,111,14,12,6,12,906,453,43,236,0,137,6,2,9,0,712,398,54,239,0,100,4,5,8,1,889,353,54,268,0,69,11,6,4,0,839,397,52,255,0,104
서울,관악구,사고[건],14,1,0,0,676,304,39,209,0,57,15,2,2,4,694,341,28,233,0,44,9,5,0,6,650,401,44,215,0,114,15,3,1,2,608,361,46,194,0,189,13,3,1,0,473,273,50,166,0,193,16,0,0,0,373,221,34,154,0,182
서울,관악구,사망[명],0,0,0,0,3,2,2,1,0,0,0,0,0,0,3,4,0,2,0,1,1,0,0,0,8,3,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,4,0,2,1,0,2,1,0,0,0,3,5,0,1,0,0
