시도,시군구,사고년도,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
시도,시군구,사고년도,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목
시도,시군구,사고년도,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목
서울,종로구,사고[건],126,74,35,28,73,487,211,59,8,-,11,22,-,98,62,23,16,106,529,166,86,15,1,5,26,-,69,30,14,19,91,381,122,145,8,-,3,21,-,66,23,6,17,70,318,118,124,7,-,5,24,-,76,36,24,33,101,389,131,131,10,-,9,34,-,84,47,14,22,89,379,150,147,10,2,6,38,-
서울,종로구,사망[명],1,3,0,0,0,2,0,0,0,-,0,0,-,1,1,0,0,1,0,1,2,0,0,0,0,-,0,0,0,1,1,1,1,0,1,-,0,0,-,3,0,0,0,1,1,0,0,0,-,1,0,-,1,0,0,0,0,1,0,0,1,-,0,0,-,3,0,0,0,3,2,0,0,0,0,0,0,-
서울,종로구,부상[명],129,72,35,32,75,707,372,80,8,-,12,24,-,104,62,24,21,108,813,256,100,21,1,6,43,-,75,30,17,19,97,576,200,177,9,-,3,21,-,65,25,6,18,75,475,185,161,10,-,4,26,-,81,36,26,37,111,574,237,184,22,-,9,34,-,99,47,14,22,93,576,217,206,10,2,6,39,-
서울,마포구,사고[건],135,50,21,21,170,541,351,328,12,-,5,37,-,110,32,7,19,192,502,228,364,9,-,2,29,-,73,28,6,16,142,465,194,315,6,-,5,22,-,69,28,12,20,99,391,198,265,5,-,2,13,-,74,26,13,23,102,336,224,249,4,-,2,12,-,73,27,14,33,125,393,238,328,6,-,3,10,-
서울,마포구,사망[명],3,0,0,0,1,3,0,1,3,-,0,0,-,2,1,0,0,1,2,0,0,0,-,0,1,-,2,2,1,1,0,2,0,2,2,-,0,1,-,2,1,0,0,3,6,0,2,0,-,0,0,-,5,1,0,0,1,1,0,1,0,-,1,0,-,2,1,0,0,3,3,2,1,1,-,0,1,-
서울,마포구,부상[명],150,50,22,21,173,820,658,480,13,-,5,37,-,119,33,7,20,202,735,417,543,14,-,3,30,-,76,27,5,16,154,662,362,418,5,-,5,24,-,71,29,12,21,101,562,367,389,5,-,2,14,-,74,28,13,24,108,515,384,319,5,-,1,12,-,77,27,14,34,134,575,387,450,5,-,3,9,-
서울,강서구,사고[건],159,45,23,20,140,518,223,311,5,-,6,52,-,154,54,29,39,193,687,232,379,8,-,3,51,-,105,46,10,36,149,543,218,418,8,1,7,34,-,120,29,23,24,144,398,224,499,4,-,1,35,-,123,26,20,30,187,493,262,423,6,-,4,32,-,102,29,14,20,165,485,235,433,8,1,2,24,-
